,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
1376,11/13/2019,10:56:22,2402,23,off,35.307746887,-80.730377197,Silver,EPIC N,Aux Services East
1379,11/13/2019,10:57:13,2407,1,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1385,11/13/2019,10:58:16,2410,6,on,35.307800293,-80.729553223,Silver,East Deck 2,Fretwell N
1386,11/13/2019,10:58:18,2410,7,off,35.307800293,-80.729553223,Silver,East Deck 2,Fretwell N
1393,11/13/2019,10:59:27,2407,3,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1394,11/13/2019,10:59:31,2401,1,off,35.311748505,-80.733055115,Green,Belk Hall S,Wallis Hall E/Light Rail
1395,11/13/2019,10:59:47,2401,8,on,35.311695099,-80.733009338,Green,Belk Hall S,Wallis Hall E/Light Rail
1403,11/13/2019,11:00:40,2407,5,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1404,11/13/2019,11:00:46,2407,6,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1413,11/13/2019,11:01:56,2407,4,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1415,11/13/2019,11:02:08,2407,9,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1418,11/13/2019,11:02:28,2402,6,off,35.306617737,-80.726676941,Silver,EPIC N,East Deck 2
1420,11/13/2019,11:02:34,2402,31,on,35.306182861,-80.726776123,Silver,EPIC N,East Deck 2
1433,11/13/2019,11:04:56,2402,12,off,35.305923462,-80.729499817,Silver,EPIC N,Fretwell S
1439,11/13/2019,11:05:30,2402,16,on,35.306015015,-80.729469299,Silver,EPIC N,Fretwell S
1440,11/13/2019,11:05:46,2407,9,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1441,11/13/2019,11:05:48,2407,12,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1442,11/13/2019,11:05:56,2411,10,on,35.309940338,-80.741897583,Silver,EPIC N,EPIC S
1452,11/13/2019,11:06:55,2407,4,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1453,11/13/2019,11:06:57,2407,4,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
